"Priority","Modified","DateReported","Category","Contract_x0020_No","Supplier","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod","HT_x0020_Recommendation"
"High","2022-06-14","2022-06-14","2022-06-14","44256","Baxter","Intralipid, IV Fat Emulsion","UPDATE 6/14/2022Baxter Letter","UPDATE 6/14/2022: 
Baxter has provided an update regarding allocations levels for several lipid product, effective immediately.                                                     
? All Intralipid codes, allocation increase from 50% to 85%                                                                             ? All Intralipid codes, allocation increase from 50% to 85%                                                                               ? EADB9521, 250mL Clinolipid, available at 100% allocation ","Manufacturing Delays from Third Party Vendor","Contracted Alternatives, Purchase Allocation","","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Baxter sales representative for any questions or issues."
"Medium","2022-05-16","2022-05-13","2022-05-13","44256","Baxter","INFUVITE","UPDATE 5/13 Baxter May 3 Letter","UPDATE 5/13: 
Baxter has increased the allocation of Pediatric INFUVITE (2A9008), effective immediately. ","Manufacturing Delays from Third Party Vendor","Contracted Alternatives, Purchase Allocation","Award Summary?","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Baxter sales representative for any questions or issues."
"High","2022-03-23","2022-03-23","2022-03-23","7678","BBraun","?Various Product CodesUPDATE See letter for updated allocation list","BBraun Letter - March 7, 2022?BBraun Letter - January 25, 2022","B Braun (#7678) has implemented protective allocations for certain product codes. The allocations levels are effective for February orders and are based on July-December 2021 demand numbers. B Braun anticipates these allocations to be in place until the beginning of Q2 2022. 
UPDATE: Please see letter for more specific information on updated allocation list.","Labor Shortages, Demand Fluctuations, Raw Material Shortage","Contracted Alternatives, Purchase Allocation","Award Summary?","Infusion Pumps, Sets, Solutions and Needleless Products","Refer to BBraun letter for potential product substitutions and work with your local Representative for assistance.  "
"High","2022-03-23","2021-12-10","2021-12-10","7678","BBraun","Filtered IV Sets, Filtered Pump sets, and Filtered Extension sets                                                                         Burette (Metriset) Set products","BBraun Letter","Due to a significant increase in demand, B Braun has announced extended backorder on several IV systems related products. At this time, B.Braun does not have sufficient supply of alternative substitute products to match these codes. Please refer to the attached letters for more details.","Demand Fluctuations","Contracted Alternatives","??Award SummaryClinical Resource - Conservation of IV Sets?","Infusion Pumps, Sets, Solutions and Needleless Products","Refer to BBraun letter for potential product substitutions and work with your local Representative for assistance."
"High","2022-06-23","2021-10-26","2021-10-26","7678","BBraun","Product SKUs P5771, P5671, and P8721","BBraun Letter","Braun is experiencing a temporary rolling backorder of several premixed Heparin products due to a raw material disruption.","Raw Material Shortage","Contracted Alternatives","","Infusion Pumps, Sets, Solutions and Needleless Products","Refer to BBraun letter for potential product substitutions and work with your local Representative for assistance."
"Medium","2022-06-23","2022-03-23","2022-03-23","7679","ICU Medical","0.9% Sodium Chloride Injection, USP, 5% Dextrose Injection, USP and empty containers","ICU Medical Letter","ICU Medical is continuing to experience a substantial increase in demand of a number IV solutions products.","Demand Fluctuations","Contracted Alternatives","Award SummaryClinical Resource - Saline Flush Clinical Alternative?","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local ICU Medical for supply updates."
"High","2022-02-17","2022-01-07","2022-01-07","1351","Smiths Medical","Medex Micro Bore extension sets","Smiths Medical Letter","Smiths Medical ASD Inc. has placed Medex Micro Bore extension sets on allocation. Please refer to the  letter for more details. Smiths Medical shared that inventory recovery, including the return to safety stock, is expected in second half of 2022.","Demand Fluctuations","Contracted Alternatives, Purchase Allocation","","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Smiths Medical representative for supply updates or product recommendations."
"High","2022-02-15","2022-02-11","2022-02-11","1351","Smiths Medical","CADD? disposable skus","?Smiths Medical Letter","Smiths Medical  has provided updated information on supply disruptions of a subset of CADD disposables. Please see details in the letter.","Manufacturing Delays from Third Party Vendor","Contracted Alternatives, Purchase Allocation","Award Summary?","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Smiths Medical representative for supply updates or product recommendations."
"Medium","2022-04-06","2022-04-06","2022-04-06","7219?","Medline","Piston irrigation tray DYNC2303Substitute items DYND20302 and DYND20300 ","No official letter communicated. Information received via supplier.","Piston irrigation tray DYNC2303 in tight supply into Q2
Substitute items: DYND20302 and DYND20300","Demand Fluctuations","Contracted Alternatives, Alternatives Recommended by Supplier","Award Summary?","Irrigation Products - Bulb","Potential Substitutions DYND20302 or DYND20300Please work with your local Medline representative for supply updates and product substitutions if necessary. This category has a diversity supplier."
"Watch","2022-02-17","2021-11-12","2021-11-12","25007581640954099375937589?","CDW, Insight, Presido, CompuNet, Dell, HPI","Laptop, Desktops, Servers, Tablets, monitors, printers, IT accessories, and IT peripherals","CDW Operations Response","Highly fluid and industrywide situation of supply chain constraints, pricing volatility and longer-than-normal delivery times for many IT manufacturers","Shipping Delays, Not Specified - Global Supply Challenges","Member Communication","","No cross posted","Please work with your  IT Supplier representative for supply updates or product recommendations."
"Medium","2022-03-23","2022-03-23","2022-03-23","880","Smiths Medical","?4589P-1  alternative 4591P-1 4598P-2  alternative 4698P-2 or 4698LH 4599P-1  alternative 4699P-1 or 4660P-1 or 4699LH 4619P-2  alternative 4629P-2 4645P-2  alternative 4698P-2 with 23G needle","Smiths Medical Letter","Smiths Medical is experiencing increased demand across select skus due to demand spikes from COVID-19. Several skus will be on allocation through February 2022.","Demand Fluctuations","Alternatives Recommended by Supplier","?Award Summary?","Kits - Arterial Blood Gas","?Suggested alternatives provided. Please work with your local Smiths Medical representative for supply updates. "
"Low","2022-05-16","2022-05-13","2022-05-13","200","Medline","?UPDATE 5/13 Impacted products updated belowUnderpads MDTIU7SEFBLU is impacted by inventory shortages due to import shipments being delayed. Sub item MDTIU7SEFGRETerries  MDTWC4B11HR Sub MDTWC3C11HR  - Resolution May 2022MDTWC4B16SR   Sub MDTWC3C16HR - Resolution June 2022Reusable OR Towels MDTST4A31MIS  Sub item MDTST4A31JAD                                                                                                                                           ","No official letter communicated. Information received via supplier.","UPDATE 5/13: Medline is experiencing increased demand along with vendor shipment delays.","Demand Fluctuations, Shipping Delays","Contracted Alternatives, Alternatives Recommended by Supplier","","Pillows - Disposable","?Please work with your local Medline representative for supply updates or substitute product recommendations. Additionally, this category contains a diversity supplier. "
"Low","2022-05-16","2022-05-13","2022-05-13","753","Cardinal","?Item # 114700-010T being recalled and discontinued - contracted substitute IHW4X4GVT 11460-010T","?Cardinal Letter","Philips notified Cardinal Health that they initiated a voluntary recall of their Infant Heel Warmer products due to mislabeling. This recall includes Cardinal Health item number 11470-010T. It will be discontinued from contract.  The recommended contracted substitute is item 11460-010T.                                                                             **Cardinal is starting to experience supply constraints on all infant heel warmers.  The constraints are caused by a combination of the Phillips discontinuation and sodium thiosulfate availability which is the main heat warming ingredient.  While the finished good is produced domestically, sodium thiosulfate comes from overseas and is impacted by the supply chain difficulties.","Mislabeling, Voluntary Recall, Product Discontinuation","Contracted Alternatives, Clinical Alternatives","?Award SummaryClinical Resource - ?Heel Warmer Clinical Evidence","No cross posted","?Please work with your local Cardinal representative for supply updates."
"Low","2022-03-23","2022-03-23","2022-03-23","753","Cardinal","Various SKUs identified in letter","?Cardinal Letter","Supply Constraints due to various raw material and transportation delays.","Raw Material Shortage, Shipping Delays","Alternatives Recommended by Supplier, Clinical Alternatives","??Award SummaryClinical Resource - Heel Warmer Clinical Evidence?","No cross posted","Please work with your local Cardinal representative for supply updates."
"Low","2022-02-11","2021-12-10","2021-12-10","750","Philips","Item # 989805616831 being recalled and discontinued","Philips Recall","Philips initiated a voluntary recall of their Infa-Therm Transport Mattress due to mislabeling.","Not Selected","Sourcing Alternatives","","No cross posted","HealthTrust is currently sourcing for alternative product."
"Low","2022-03-23","2022-03-23","2022-03-23","77329","International Biomedical","Item # 989805637451 2ML 24% SUCROSE SWEET-EASE","No official letter communicated. Information received via supplier.","International Biomedical is experiencing supply issues with raw plastic needed for vial production. New vials are shipping now, but face a 21 day quarantine for QC inspection before being able to be sold (confirming sterility).  Expect to be able to ship vials again starting on Monday Dec. 10, 2021.","Raw Material Shortage","Contracted Alternatives","Award Summary?","No cross posted","?Currently International Biomedical has the 15mL cups as a viable option, item #989805603401"
"High","2022-05-16","2022-05-13","2022-05-13","132","BD","?UPDATE 5/13 Updated Affected Products405161405180405181405182405184","?BD Letter","BD is experiencing intermittent supply constraints on the BD Anesthesia portfolio including spinal & epidural needles. The intermittent supply constraint is driven by a shortage of supply of its top web packaging materials. These constraints may result in longer than anticipated order fulfillment. ","Packaging Issue","Purchase Allocation","","No cross posted","Please work with your local BD representative for supply updates. Substitutions provided in letter."
"High","2022-05-16","2022-05-13","2022-05-13","689","Cardinal","Product UpdatesMagellan? Hypodermic Safety Needles 88818508158881850915888185021588818500158881850910  Monoject? Safety Hypodermic Needles 11832210Magellan?  and Monoject? Safety Insulin and Tuberculin All products on rolling backorderStandard Needles and Syringes All products on allocation and experiencing rolling backorders.","No official letter communicated. Information received via supplier.","UPDATE 5/13:
Due to labor constraints, raw material shortages and shipping delays, some product lines are on fair share allocation to protect current customers and are not accepting new business. 
Monoject? Safety Needles:
Magellan? & Monoject? Safety Insulin and Tuberculin syringes experiencing increased labor constraints and on rolling backorder. 

Standard Needles and Syringes:
Increased demand, manufacturing and labor constraints, and increased lead time for raw materials are contributing to these products experiencing rolling backorders. To support, these products are on fair share allocation.

Monoject? Standard Hypodermic Needles & Syringes
? 3mL soft pack combinations ? through July 2022
? 3mL rigid pack needle & syringe combinations ?
through July 2022
? Standard Soft Pack needles ? through August 2022
? Standard Rigid Pack needles ? rolling backorder 
? Standard Aluminum Hub needles ? through November 
2022
? 1mL & 6mL needle & syringe combinations ? rolling 
backorder","Labor Shortages, Raw Material Shortage, Manufacturing Delays from Third Party Vendor, Demand Fluctuations","Contracted Alternatives, Non-Contracted Alternatives, Purchase Allocation","Award Summary?","Needles & Syringes - Safety","Please work with your local Cardinal representative for supply updates and recommended alternatives."
"Low","2022-06-01","2022-05-13","2022-05-13","746","KCI","UPDATE 5/13 Updated Affected Products3M Prevena Restor AxioForm System Kit PRE55013M Prevena Restor BellaForm System Kit, PRE5221","UPDATE 5/13 KCI/3M April 28 Letter??KCI/3M Letter","UPDATE 5/13: 
KCI/3M is experiencing a backorder on 3M Prevena Restor AxioForm System Kit, PRE5501 and 3M Prevena Restor BellaForm System Kit, PRE5221, due to supply chain related issues.","Not Specified - Global Supply Challenges","Non-Contracted Alternatives, Alternatives Recommended by Supplier","Award SummaryClinical Resource - NPWT PFS?Clinical Resource - NPWT Tech Review","Negative Pressure Wound Therapy","?See substitutions provided in letter."
"Retire/Resolved","2022-06-02","2022-01-28","2022-01-28","746","KCI","AbThera Advance Open Abdomen Dressing, 5/pk","?KCI/3M Letter","3M? AbThera? Advance Open Abdomen Dressing, 5/pk ABT1055 SKU is no longer on  backorder., but may go into intermittent backorder through Q1 2022.","Not Specified - Global Supply Challenges","Non-Contracted Alternatives, Alternatives Recommended by Supplier","?Clinical Resource - PFSClinical Resource - Tech Review?","Negative Pressure Wound Therapy","See substitutions provided in letter."
"High","2022-05-16","2022-05-13","2022-05-13","6671","Cardinal","Argyle? PICC insertion trays","?UPDATE 5/13 Cardinal Letter - March?Cardinal Letter - January","Due to a raw material constraint, Cardinal is unable to include Povidone-Iodine (PVP) swabsticks, in its Argyle? UVC and PICC insertion trays. Production without this component will begin shipping in March and will continue until Cardinal can attain consistent supply of PVP swabsticks. During this time, Cardinal is including a label on the outer corrugate as well as a label on the individual tray that reads, ?DOES NOT CONTAIN POVIDONE IODINE.?","Shipping Delays, Raw Material Shortage, Demand Fluctuations","Purchase Allocation","Award Summary?","PICCs - Neonatal","Please work with your local Cardinal representative for supply updates."
"High","2022-05-16","2022-05-13","2022-05-13","6673","Cardinal Health","Argyle? UVC Insertion trays ","Cardinal Letter - March 22?Cardinal Letter - January 26","Due to a raw material constraint, Cardinal is unable to include Povidone-Iodine (PVP) swabsticks, in its Argyle? UVC and PICC insertion trays. Production without this component will begin shipping in March and will continue until Cardinal can attain consistent supply of PVP swabsticks. During this time, Cardinal is including a label on the outer corrugate as well as a label on the individual tray that reads, ?DOES NOT CONTAIN POVIDONE IODINE.?","Raw Material Shortage, Equipment Disruption","Purchase Allocation","Award Summary?","Neonatal UV Catheters","?Please work with your local Cardinal representative for supply updates. "
"Medium","2022-04-21","2022-04-20","2022-04-20","220","Abbott","See letter for products","?Abbott Letter posted in Contract Launch Package","Abbott products listed in the letter  are currently low in inventory and are being produced from April through June, with estimated inventory recovery dates as noted.","Not Specified - Global Supply Challenges","Non-Contracted Alternatives","","Enteral Feeding - Adult Nutritionals","?Alternative products provided in supplier letter "
"Watch","2022-02-17","2022-01-18","2022-01-18","56","Mead","Slow Flow Nipples","No official letter communicated. Information received via supplier.","In low inventory supply due to a packaging issue","Packaging Issue","","","Nutritionals and Formula - Infant and Pediatric","?Mead stated that they have plenty of inventory of the Extra Slow Flow Nipples that has a 50% less flow rate than the slow flow nipples (433912).  Other options include the Nuk Orthodontic Slow Flow Nipple (210504) which has the same flow rate as the Soft Slow Flow Nipple (433905)."
"Low","2022-06-23","2022-06-03","2022-06-03","246","Abbott","See letter for products","UPDATED 6/2/2022?Abbott Letter","Abbott is seeing a significant increase in demand driven by higher than anticipated births, coupled with challenges across the broader U.S. supply chain, that have led to increased transit times, delayed receipt of shipments, and intermittent out of stocks. **Abbott is encouraging members to order directly from them for the next few weeks until a healthier inventory is established. If you have any questions, please contact Jennifer Sassone at jennifer.sassone@abbott.com.","Not Selected","Contracted Alternatives","?Award SummaryClinical Resource - Probiotics in Infants?","Nutritionals and Formula - Infant and Pediatric","?Per Abbott, the use of pediatric nutrition products must be determined by the healthcare professional. When patients need to change to a new formula, please work with that patient's healthcare professional to determine the best alternate product. "
"Low","2022-02-17","2022-01-07","2022-01-07","2532","Staples","Office Supplies","No official letter communicated. Information received via supplier.","Due to the labor shortage, combined with the impact of COVID on delivery personnel, it will potentially impact next-day deliveries","Labor Shortages, Shipping Delays","Member Communication","Award Summary?","No cross posted","??Staples is encouraging everyone to order 3-4 days in advance when possible.Customers may track the status of their order in the Order History section of their profile on the www.StaplesAdvantage.com website OR communicate with the Staples Customer Service Team through these optionsCustomer ServicePhone ? 1-877-826-7755800 am ? 800 pm ESTMonday - FridayChat ? live with representative on www.StaplesAdvantage.comEmail ? send requests to Support@StaplesAdvantage.com"
"Medium","2022-05-16","2022-05-13","2022-05-13","16996","Avanos Medical","BALLARD* Oral Care q2 & q4Kits","?Avanos Letter","UPDATE 5/13: Avanos is maintaining allocation through May, but they have set Cardinal, O&M, Medline and Concordance?s allocation amounts at 135% of historical spend (looking at the previous 6 months usage prior to the start of allocation).  They anticipate removing the allocation in June.

Effective February 1, 2022, BALLARD* Oral Care q2 & q4 Kits will be placed on a monthly distributor allocation. This allocation will occur at the code level. If you are purchasing these products through distributors, information will be sent to those distributors regarding monthly allocation amounts. If you currently purchase directly from Avanos, there is no allocation.","Demand Fluctuations, Labor Shortages, Raw Material Shortage","Purchase Direct, Purchase Allocation","Award Summary?","Oral Care - Cleansing and Suctioning Systems","?Please reach out to your Avanos Corporate Account Director if you have questions regarding the allocation process. "
"High","2022-05-16","2022-05-13","2022-05-13","7481","Cardinal Health","?OR Accessories OR Towels, Lap Sponges Cardinal Health? Standard OR Towels, X-Ray Detectable OR Towels, and Lap Sponges (sold single sterile or non-sterile via distribution).Customers can consider converting to Cardinal's Ultra-Low Lint Towels (sterile Cat. no. 28704-004) or Universal Low Lint Towels (sterile Cat. no. SPP99UB2PK and SPP99UB4PK; non-sterile Cat. no. UB017026 or UG017926) as a substitute or replacement of the standard cotton OR towel.","No official letter communicated. Information received via supplier.","UPDATE 5/13: Impacted Products
? Sterile surgical towels: 
28200-001, 28200-002, 28200-004, 28200-006, 28300-002, 28300-004, 28300-006, 28700-001, 28700-002, 28700-004, 28700-006, 28700-008, 28700-010, 28700-012, 77702, 77704, 777706 
? Nonsterile surgical towels: 28100-999                                                                    ? Sterile X-Ray towels: 
28200-004X, 28300-002X, 28300-004X, 28300-006X, 28700-002X, 28700-004X, 28700-006X 

Cardinal Health? Standard OR Towels, X-Ray Detectable OR Towels, and Lap Sponges (sold single sterile or non-sterile via distribution) are on allocation due to global transportation challenges. Product is being produced and shipped to the U.S. on a regular basis but experiencing delays at the ports in Asia and as it travels to its destination in the U.S. Customers may experience rolling backorders due to shipment delays.","Shipping Delays","Contracted Alternatives, Non-Contracted Alternatives, Purchase Allocation, Alternatives Recommended by Supplier","Award Summary?","OR Towels","?Please work with your local Cardinal representative for supply updates. "
"High","2022-05-16","2022-05-13","2022-05-13","5289","Cardinal","UPDATE 5/13 Various SKUs remain impacted","No official letter communicated. Information received via supplier.","Cardinal Health? Economy FOAM Positioners (blue) are on allocation due to raw material constraints and production delays. 
Orders are NOT being accepted for the following product numbers: FP-ECABDL, FP- ECABDM, FP-ECABDS, FP-ECARM, FP-ECHCR, FP-ECHEAD9, FP-ECHEEL, FP-ECMTRS2, FP-ECMTRS3, FP- ECMTRS4, FP-ECORTBL, FP-ECUN1, FP-ECUP, FP-ECWC4, FP-ECWIO and FP-SLTARM. 
Alternative: Please order the DEVON? raspberry swirl equivalent. 
Your sales representative can provide the recommended cross for the above impacted product numbers.","Raw Material Shortage, Manufacturing Delays from Third Party Vendor","Contracted Alternatives, Non-Contracted Alternatives, Alternatives Recommended by Supplier","Award Summary?","Positioning Aids - Surgery - Foam","?Please work with Cardinal for supply updates and any product substitutions if necessary. This category has a diversity supplier. "
"Low","2022-05-16","2022-05-13","2022-05-13","2560","Medline","?UPDATE 5/13 Affected Products UpdatedMDS138007MDS138009MDS139007MDS149000MDS158055","No official letter communicated. Information received via supplier.","UPDATE 5/13: Low inventory, spike in demand due to competitors' backorder. Estimated get well dates Q3 2022.","Demand Fluctuations","Non-Contracted Alternatives","Award Summary?","Packs - Instant Hot & Cold","?Please work with your local Medline representative for supply updates and product substitutions if necessary. "
"Low","2022-06-17","2022-06-17","2022-06-17","2800","Medline","UPDATE 6/17 Products Affected UpdatedMDS032285 Jelly Lube Sterile 2 oz June 2022 - Sub MDS032280MDS032290 Jelly Lube Sterile 4 oz June 2022 - Sub MDS032280                                              MDS098014  Hydrogen Peroxide, 3 PCT, 4-OZ Sub MDS098015MDS098011 Alcohol, Rubbing, 70 PCT   Sub MDS09801Z               ","No official letter communicated. Information received via supplier.","Due to raw materials and manufacturing delays, we will be experiencing national backorders on alcohol and peroxide products thru mid-June. Low stock due to various competitive market disruptions including a competitive recall from PDI coupled with port congestion on backfill product","Demand Fluctuations, Shipping Delays","Member Communication","Award Summary?","Patient Care Supplies (Pre-Moistened Pads, Swabs, Lubricating Jelly, Etc)","?Please work with your local Medline representative for supply updates and product substitutions if necessary. "
"Low","2022-05-16","2022-05-13","2022-05-13","735","3M","?UPDATE 5/13 3M is continuing to have backorders on their Bair Hugger Warming Unit Catalog IDs77500 8750067500 (unit model 675)","?UPDATE 5/13 3M Letter May 10UPDATE 5/13 3M Letter April 25 on 67500??UPDATE 4/29 ?3M Letter","Due to global raw material supply constraints, some SKUs of 3M Bair Hugger Warming Unit is on backorder.","Raw Material Shortage","Alternatives Recommended by Supplier, Clinical Alternatives","?Award SummaryClinical Resource - Patient Temperature Clinical EvidenceClinical Resource - Patient Temperature PFS?","Patient Temperature Management - Convective Warming","?Please work with your local 3M representative for supply updates. "
"Watch","2022-06-23","2021-10-26","2021-10-26","922","LSL","Various SKUs","No official letter communicated. Information received via supplier.","LSL is experiencing severe US port & railyard congestion for incoming goods","Shipping Delays","Member Communication","","Patient Slippers","?Please work with your LSL representative for supply updates and product substitutions if necessary. "
"Low","2022-06-17","2022-06-17","2022-06-17","2801","Medline","?UPDATE 6/17 Paper ProductsNON245278 Discontinued - Sub NON243277NON243275 - Sub  NON243277  June 2022Mouthwash                                                                    CTR000412 Mouthwash, Alcohol Free, 2 OZ                                                                                  CTR000413 Mouthwash, Alcohol Free, 4 OZ                                                                                  Sub CTR00041 Mouthwash, Alcohol Free, 16 OZ                                                                                                                                                                                     ","No official letter communicated. Information received via supplier.","Medline is experiencing service issues on the items listed: labor shortages reducing factory capacities and raw material shortages. Due to raw materials and manufacturing delays, Medline will be experiencing national backorders on Medline Sparklefresh Mouthwash products thru mid-June","Labor Shortages, Raw Material Shortage","Alternatives Recommended by Supplier","Award Summary?","No cross posted","?Refer to listed substitutions provided by Medline. Please work with your local Medline representative for supply updates and product substitutions. "
"High","2022-06-01","2022-03-21","2022-03-21","66898","BD","Various SKUs","BD Letter","Due to competitor's product being pulled from the market and then discontinued, BD is experiencing increased supply demand. BD's goal continues to be to fill the distributor channel and utilize DIOH (days of inventory on hand) to make efficient allocation decisions based on available supply and benchmarks by distributor branch","Demand Fluctuations","Purchase Allocation, Contracted Alternatives, Non-Contracted Alternatives","??Award Summary Clinical Resource - Prefilled Flush Syringe Conservation - FDAClinical Resource - Prefilled Flush Cross Conversion Tool","Prefilled Flush Syringes","?HT members should reach out to Local BD MDS Sales Reps to escalate drop shipment orders as needed, so HT members maintain inventory."
"Medium","2022-03-23","2022-03-23","2022-03-23","1331","Masimo","Part #4628 Substitute 3820 or 4624 or 3822                                                                                                     Part #3824 Substitute 3820 or 3822                                          Part #4453 Substitute 4459 or 4451 or 4459","No official letter communicated. Information received via supplier.","Masimo is experiencing supply disruption on certain SKUs of Nomoline items.","Not Specified - Global Supply Challenges","Alternatives Recommended by Supplier","Award Summary?","Pulse Oximetry and Capnography Equipment and Supplies","?Please work with your local Masimo representative for supply updates and recommended alternatives. "
"High","2022-06-23","2022-05-13","2022-05-13","58814","Boston Scientific","?UPDATE 5/13 Reduction in affected productsDiagnostic and guide-catheters (MACH 1, RUNWAY)","Boston Scientific Codes On Backorder","Mach 1 and Runway guide catheters remain on backorder through June 2022 ","Component Disruption","Contracted Alternatives","?Award SummaryClinical Resource - Vascular Closure Evidence SummaryClinical Resource - Vascular Closure Evidence PFS","Radial Access, Interventional, and Closure Devices","Please work with your Boston Scientific representative to stay up to date on orders or find suitable alternatives."
"Low","2022-02-17","2021-12-03","2021-12-03","160","Cardinal","Sulfur Colloid","?Cardinal Letter","There are ongoing product shortages with Sulfur Colloid. Sun Pharma is working in concurrence with the FDA to manufacture Sulfur Colloid with the goal of product release by January 2022. Please refer to the attached letters for additional details.","Manufacturing Delays from Third Party Vendor","Member Communication, Clinical Alternatives","Award Summary?","Radiopharmaceuticals - Unit Dose","?Contact your local pharmacy for specific supply questions and FDA-approved alternate options for your procedures."
"Low","2022-02-17","2021-12-03","2021-12-03","20225","RLS USA INC","Sulfur Colloid","?RLS Letter","There are ongoing product shortages with Sulfur Colloid. Sun Pharma is working in concurrence with the FDA to manufacture Sulfur Colloid with the goal of product release by January 2022. Please refer to the attached letters for additional details.","Manufacturing Delays from Third Party Vendor","Clinical Alternatives, Member Communication","","Radiopharmaceuticals - Unit Dose","?Contact your local pharmacy for specific supply questions and FDA-approved alternate options for your procedures."
"Medium","2022-02-17","2022-01-07","2022-01-07","7093","US Med-Equip","Ventilators and stand-alone non-invasive ventilator therapies","No official letter, but US Med-Equip sent out an email to members","Since the first of December, US Med-Equip has seen record calls for equipment from all regions of the United States. This has been different from past localized surges in that these calls are to allow treatment of flu?and?COVID patients and on a national scale. Due to the magnitude of acute respiratory needs, USME has exhausted inventory in most ventilators and stand-alone non-invasive ventilator therapies. Should you have a need for respiratory items, they suggest placing an order sooner rather than later.","Demand Fluctuations","Member Communication","?Award SummaryClinical Resource - Ventilator PFS?","No cross posted","Please work with your local US Med-Equip representative for supply updates and recommendations."
"Medium","2022-04-08","2022-04-06","2022-04-06","6071","Medline","HUD38150 (1650mL Concha Water) has been placed on allocation, effective immediately","No official letter communicated. Information received via supplier.","HUD38150 (1650mL Concha Water) remains on allocation. For current customers, allocation has been set to accommodate 100% of customer?s average monthly historic demand with a minimum case quantity of 5","Not Specified - Global Supply Challenges","Purchase Allocation","Award Summary?","Respiratory Heaters and Accessories","Please work with your local Medline representative for supply updates and product substitutions if necessary."
"Retire/Resolved","2022-05-04","2022-01-13","2022-01-13","75863","Medline","Incentive Spirometers are on allocation based on 6 months historical usage                                                    HCS93250                                                                                HCS93500                                                                                      HUD8884719010                                                                             HUD8884719011","No official letter communicated. Information received via supplier.","Medline codes are on allocation based on 6 months historical usage","Demand Fluctuations","Purchase Allocation, Contracted Alternatives","","Respiratory, Lung Expansion Devices","Please work with your local Medline representative for supply updates and product substitutions if necessary."
"Medium","2022-02-11","2021-12-17","2021-12-17","75856","Smiths Medical","22-2000 COACH 2 FOR KIDS NS + 12/CA                                22-2500 COACH 2 2500ML NS + 12/CA                                  22-2501 COACH 2 2500ML W/O VALVE NS + 12/CA          22-4000 COACH 2 4000ML NS + 12/CA                                    22-4001 COACH 2 4000ML W/O VALVE NS + 12/CA","No official letter communicated. Information received via supplier.","Smiths Medical incentive spirometers are on backorder and they have put them in allocation to control available inventory release.","Not Selected","Not Selected","","Respiratory, Lung Expansion Devices","?Please work with you local Smiths Medical representative for supply updates and product substitutions if necessary. "
"High","2022-06-23","2021-10-26","2021-10-26","?778","B Braun","Various SKUs","No official letter communicated. Information received via supplier.","Smiths:  supply issues being reported - no definitive time for resolution.","Demand Fluctuations","Contracted Alternatives","","?Catheters - IV Safety","Please work with your chosen supplier for supply updates and product substitutions if necessary."
"Low","2022-06-17","2022-06-17","2022-06-17","3599","Medline","Additional items impacted. Please work with your local Medline sales representative for updates and substitute recommendations.?MSC092ZP04  Sub MSC092554MSC092542  Sub MSC092554MSC092544PACK  Sub MSC092554PACKMSC095332  Sub MSC092408MSC092204  Sub MSC092208Remedy Olivamine is in short supply and we anticipate shortages for much of 2022.","No official letter communicated. Information received via supplier.","UPDATE 6/17: Remedy items have the potential to cause a service disruption. As the result of long raw material lead times, manufacturing delays, and transportation issues related to COVID, select items are tight on supply and will need to be subbed. Inbound shipments of MSC092542 are taking significantly longer than anticipated to make its way to satellite branches. During this time Medline will need to reroute from the regional hub. All Z-Guard items are on 100% allocation for distributors only while we work to rebuild their inventory ","Raw Material Shortage, Manufacturing Delays from Third Party Vendor, Shipping Delays","Alternatives Recommended by Supplier","Award Summary?","Skin Care Products","?Review recommended substitutions provided in this communication. Please work with your local Medline representative for supply updates or recommended product substitutions. "
"High","2022-03-23","2022-03-23","2022-03-23","2048","PDI Healthcare","Prevantics Products","PDI Letter","An inspection conducted by the U.S. Food and Drug Administration (FDA) at the PDI manufacturing facility during May-June 2021 resulted in the issuance of a warning letter to PDI. PDI has paused the distribution of Prevantics products while they prepare and execute a plan of action to address this. Please see the attached document for further information.","Quality Concerns","Contracted Alternatives","?Award SummaryClinical Resource - PFSClinical Resource - Clinical Evidence Summary","Skin Prep Applicators and Swabsticks","Please work with you local PDI representative for updates."
"Medium","2022-06-23","2022-05-13","2022-05-13","?980","BD","ChloraPrep 1 mL single sterile 930480","UPDATE 5/13 BD Letter May 4","UPDATE 5/13:
BD will start shipping BD ChloraPrep Single Sterile 1mL Applicator, 930480 the week of May 16, 2022.? For the month of May, customers can order 50% of their allocation volume and they expect full recovery in June 2022.","Not Specified - Global Supply Challenges","Purchase Allocation","?Award SummaryClinical Resource - PFS","?Surgical Skin Prep - CHG-Alcohol","?BD will be offering the BD ChloraPrep FREPP 1.5mL (930299) and the 1 mL single sterile (930480) at the same price."
