"Priority","DateReported","Modified","Category","Contract_x0020_No","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod"
"Low","2021-12-17","2022-02-11","Nutritionals and Formula - Infant and Pediatric","<div class=""ExternalClass67D0CE585EDF41A08BBAA7573A0B27DC""><a href=""https&#58;//members.healthtrustpg.com/contracts/246"" title=""246"">246</a></div>","<div class=""ExternalClassD4A857BA460B4D73AAF2BD045F49BB11"">See letter for products</div>","<div class=""ExternalClassC3AAC6DFD5A24853A8730279206DA2F8"">Abbott Letter</div>","Abbott is seeing a significant increase in demand driven by higher than anticipated births, coupled with challenges across the broader U.S. supply chain, that have led to increased transit times, delayed receipt of shipments, and intermittent out of stocks. **Abbott is encouraging members to order directly from them for the next few weeks until a healthier inventory is established. If you have any questions, please contact Jennifer Sassone at jennifer.sassone@abbott.com.","Not Selected","Contracted Alternatives","<div class=""ExternalClass5C06557A27D54765848FB6363EEF29B1""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></li><li><span style=""color&#58;black;""><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/246.Clin_Ques_Probiotics_FINAL.pdf?csf=1&amp;web=1&amp;e=hAP3QG"" title=""Clinical Resource - Probiotics in Infants?""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Probiotics in Infants?</span></a></span></li></ul></div></div>","<div class=""ExternalClass089BC19703694FD38C3D0E9DE6812552""><a href=""https://members.healthtrustpg.com/contracts/246"" title=""Nutritionals and Formula - Infant and Pediatric"">Nutritionals and Formula - Infant and Pediatric</a></div>"
"Low","2022-01-07","2022-02-17","Office Supplies","<div class=""ExternalClass54DA292DD48E44A0A5662E78281877AA""><a href=""https&#58;//members.healthtrustpg.com/contracts/2532"" title=""2532"">2532</a></div>","<div class=""ExternalClass33AF5B4708224621BBAFBA9BA34FE064"">Office Supplies</div>","<div class=""ExternalClass8B7E810EC4B9474DB109B21E85F6B832"">No official letter communicated. Information received via supplier.<br></div>","Due to the labor shortage, combined with the impact of COVID on delivery personnel, it will potentially impact next-day deliveries","Labor Shortages, Shipping Delays","Member Communication","<div class=""ExternalClassD562225879594B3BA8F7E8E833E4EB0C""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/2532"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass59EC188A5CC44FC7986110005E2E1B2E"">No cross posted</div>"
"Medium","2022-05-13","2022-05-16","Oral Care","<div class=""ExternalClass10447E51832E4B569E7E70649FC9E57F""><a href=""https&#58;//members.healthtrustpg.com/contracts/16996"" title=""16996"">16996</a></div>","<div class=""ExternalClassF83346E2A3F44C2F93D7202A1E105A7D"">BALLARD* Oral Care q2 &amp; q4Kits</div>","<div class=""ExternalClassB58C4BF656354AD8A094C5596EC2A568""><span style=""color&#58;black;""><a href=""https&#58;//portal.healthtrustpg.com/-/media/C55B41E2BEC44382A4033FB565F1FF3C.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=202131235&amp;_hsenc=p2ANqtz--5hvF2U6tTkHEnkA74J-D3WE77fBpXQNc3PUK6LgghOQPpTt3JBJL-kUMML4WdJ4U-hUGbkEnbOviPlvSMEpo80PF"" title=""?Avanos Letter"">?Avanos Letter</a></span></div>","UPDATE 5/13: Avanos is maintaining allocation through May, but they have set Cardinal, O&amp;M, Medline and Concordance?s allocation amounts at 135% of historical spend (looking at the previous 6 months usage prior to the start of allocation).  They anticipate removing the allocation in June.

Effective February 1, 2022, BALLARD* Oral Care q2 &amp; q4 Kits will be placed on a monthly distributor allocation. This allocation will occur at the code level. If you are purchasing these products through distributors, information will be sent to those distributors regarding monthly allocation amounts. If you currently purchase directly from Avanos, there is no allocation.","Demand Fluctuations, Labor Shortages, Raw Material Shortage","Purchase Direct, Purchase Allocation","<div class=""ExternalClassC2DB4612612E443EAFDDFE314AA0F603""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/16996"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass1533318FEA9B437FAFCC8EC3BBC29B8A""><a href=""https://members.healthtrustpg.com/contracts/16996"" title=""Oral Care - Cleansing and Suctioning Systems"">Oral Care - Cleansing and Suctioning Systems</a></div>"
"High","2022-05-13","2022-05-16","OR Towels - Sterile and Non-Sterile","<div class=""ExternalClass0BFB607A95C14B62BF79E4BC6AF530D0""><a href=""https&#58;//members.healthtrustpg.com/contracts/7481"" title=""7481"">7481</a></div>","<div class=""ExternalClassD03BFD0BAF8E4789B1298C9C04159600""><span style=""color&#58;black;"">?</span>OR Accessories OR Towels, Lap Sponges Cardinal Health? Standard OR Towels, X-Ray Detectable OR Towels, and Lap Sponges (sold single sterile or non-sterile via distribution).<p><br></p><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><span>Customers can consider converting to Cardinal's Ultra-Low Lint Towels (sterile Cat. no. 28704-004) or Universal Low Lint Towels (sterile Cat. no. SPP99UB2PK and SPP99UB4PK; non-sterile Cat. no. UB017026 or UG017926) as a substitute or replacement of the standard cotton OR towel.<br></span><div><br></div><span></span><br></div></div>","<div class=""ExternalClassA390CD5E5E2F47D6A95A76401F9A0011"">No official letter communicated. Information received via supplier.</div>","UPDATE 5/13: Impacted Products
? Sterile surgical towels: 
28200-001, 28200-002, 28200-004, 28200-006, 28300-002, 28300-004, 28300-006, 28700-001, 28700-002, 28700-004, 28700-006, 28700-008, 28700-010, 28700-012, 77702, 77704, 777706 
? Nonsterile surgical towels: 28100-999                                                                    ? Sterile X-Ray towels: 
28200-004X, 28300-002X, 28300-004X, 28300-006X, 28700-002X, 28700-004X, 28700-006X 

Cardinal Health? Standard OR Towels, X-Ray Detectable OR Towels, and Lap Sponges (sold single sterile or non-sterile via distribution) are on allocation due to global transportation challenges. Product is being produced and shipped to the U.S. on a regular basis but experiencing delays at the ports in Asia and as it travels to its destination in the U.S. Customers may experience rolling backorders due to shipment delays.","Shipping Delays","Contracted Alternatives, Non-Contracted Alternatives, Purchase Allocation, Alternatives Recommended by Supplier","<div class=""ExternalClassE77EB8590B7D4585A17014C22FE5CCE8""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/7481"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClassA6957DB8C0FC4751A6DA692DCCE84C1B""><a href=""https://members.healthtrustpg.com/contracts/7481"" title=""OR Towels"">OR Towels</a></div>"
"High","2022-05-13","2022-05-16","OR Positioners","<div class=""ExternalClass3B98A5D30A22404DAB688EF54C4D6664""><a href=""https&#58;//members.healthtrustpg.com/contracts/5289"" title=""5289"">5289</a></div>","<div class=""ExternalClass62E745C2EFBE412697F9BBDC9559B419""><span style=""color&#58;black;""></span>UPDATE 5/13&#58; Various SKUs remain impacted</div>","<div class=""ExternalClass93C8013569E6408F84FCA67FC35A104E"">No official letter communicated. Information received via supplier.</div>","Cardinal Health? Economy FOAM Positioners (blue) are on allocation due to raw material constraints and production delays. 
Orders are NOT being accepted for the following product numbers: FP-ECABDL, FP- ECABDM, FP-ECABDS, FP-ECARM, FP-ECHCR, FP-ECHEAD9, FP-ECHEEL, FP-ECMTRS2, FP-ECMTRS3, FP- ECMTRS4, FP-ECORTBL, FP-ECUN1, FP-ECUP, FP-ECWC4, FP-ECWIO and FP-SLTARM. 
Alternative: Please order the DEVON? raspberry swirl equivalent. 
Your sales representative can provide the recommended cross for the above impacted product numbers.","Raw Material Shortage, Manufacturing Delays from Third Party Vendor","Contracted Alternatives, Non-Contracted Alternatives, Alternatives Recommended by Supplier","<div class=""ExternalClassB1FC2DA3F508450EB60CFF06281CF964""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/5289"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass7554CA651F8144138C2A05CE200A1E90""><a href=""https://members.healthtrustpg.com/contracts/5289"" title=""Positioning Aids - Surgery - Foam"">Positioning Aids - Surgery - Foam</a></div>"
"Low","2022-05-13","2022-05-16","Packs - Instant Hot &amp; Cold","<div class=""ExternalClass9A99EB8873D24EDD92ABF965CFFE558E""><a href=""https&#58;//members.healthtrustpg.com/contracts/2560"" title=""2560"">2560</a></div>","<div class=""ExternalClass531FBAE02FEA403EA448E5940C7BC9B5""><span style=""color&#58;black;"">?</span><span style=""color&#58;black;"">UPDATE 5/13&#58; Affected Products Updated</span></div><div class=""ExternalClass531FBAE02FEA403EA448E5940C7BC9B5""><span style=""color&#58;black;""><p><span style=""color&#58;rgb(50, 49, 48);""></span></p></span></div>MDS138007<p>MDS138009</p><p>MDS139007</p><p>MDS149000</p><p>MDS158055<br></p><div class=""ExternalClass531FBAE02FEA403EA448E5940C7BC9B5""><p><b></b></p></div>","<div class=""ExternalClass59C64175E38248308EFC9770BB7F24B3"">No official letter communicated. Information received via supplier.</div>","UPDATE 5/13: Low inventory, spike in demand due to competitors&#39; backorder. Estimated get well dates Q3 2022.","Demand Fluctuations","Non-Contracted Alternatives","<div class=""ExternalClassB95F01C4A8434214B6A3721DF54E506A""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/2560"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClassDC6578D094044111B27B5F88B435B889""><a href=""https://members.healthtrustpg.com/contracts/2560"" title=""Packs - Instant Hot &amp; Cold"">Packs - Instant Hot &amp; Cold</a></div>"
"Low","2022-05-13","2022-05-16","Patient Care Supplies","<div class=""ExternalClassE38A7028EDC646CDB2B37A9A8031EC79""><a href=""https&#58;//members.healthtrustpg.com/contracts/2800"" title=""2800"">2800</a></div>","<div class=""ExternalClassCBA5E2B997A5426EB1F5943E6F95DF3F""><div class=""ExternalClassB3C9FAB7E90F400CAB009D3730089DF7"" style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><span style=""color&#58;black;""></span></div><div>UPDATE 5/13&#58; Products Affected Updated<div style=""margin-top&#58;0px;margin-bottom&#58;0px;"">MDS032285 Jelly Lube Sterile 2 oz May 2022 - Sub&#58; MDS032280<p>MDS032290 Jelly Lube Sterile 4 oz May 2022 - Sub&#58; MDS032280&#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160;&#160;<br></p></div></div><div></div></div>","<div class=""ExternalClass29D093F4D51C49C2A4128587282E343A"">No official letter communicated. Information received via supplier.</div>","Low stock due to various competitive market disruptions including a competitive recall from PDI coupled with port congestion on backfill product","Demand Fluctuations, Shipping Delays","Member Communication","<div class=""ExternalClass89257661B63D45528D7FD4D8436E6F41""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/2800"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass345610BB645D4AD0853B62F34B3C415B""><a href=""https://members.healthtrustpg.com/contracts/2800"" title=""Patient Care Supplies (Pre-Moistened Pads, Swabs, Lubricating Jelly, Etc)"">Patient Care Supplies (Pre-Moistened Pads, Swabs, Lubricating Jelly, Etc)</a></div>"
"Low","2022-05-13","2022-05-16","Patient Temperature Management - Convective Warming","<div class=""ExternalClassC7D4AF207C714495BF44BDDF62EBD7BC""><a href=""https&#58;//members.healthtrustpg.com/contracts/735"" title=""735"">735</a></div>","<div class=""ExternalClass62F71986B3554ABEA5783ACF4E92D61E""><span style=""color&#58;black;"">?</span>UPDATE 5/13&#58;&#160;<p>3M is continuing to have backorders on their Bair Hugger Warming Unit Catalog IDs&#58;</p><p>77500&#160;</p><p>87500<br></p><p>67500 (unit model 675)</p></div>","<div class=""ExternalClass695016B2B5A942389F8D1C1FA3B103EE""><ul><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/119B7666E3344272835BB3C89472AFB7.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212951564&amp;_hsenc=p2ANqtz-9bdhhuPor0Uj_1VtqsFbnWzUyzhxGKo2J7bOnfK1ILzbOwzIBo-0Y0tyvUVknhuEGhfFYGJWSWWZIoM2lUMF24bEQ"" title=""UPDATE 5/13&#58; 3M Letter May 10""><span style=""color&#58;black;"">?</span>UPDATE 5/13&#58; 3M Letter May 10</a></li><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/089A44F7E0D143AEAB798BFE04FF80EB.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212468361&amp;_hsenc=p2ANqtz-8uLDcuJoKrQSn9pymPxmlIDZNWlxqRdc4ymhc9s0tHt27dRq7bwz7Vcpg4LBgn4FuY4eWzQPlNCtvsnigo6M9Eh_n"" title=""UPDATE 5/13&#58; 3M Letter April 25 on 67500"">UPDATE 5/13&#58; 3M Letter April 25 on 67500</a></li><li><span style=""color&#58;black;""><a href=""https&#58;//portal.healthtrustpg.com/-/media/C2FD74D1D4C94D61900E1B8B6249E306.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=211023221&amp;_hsenc=p2ANqtz--HqBF8ER-kuvDLqAEl-xkJanlcaLjeRVvScYf4m7ixVhGRRX69IB-yA2bZCwUptN1Ymz_S2XzpwlwmyhiNoFvUXm_"" title=""?UPDATE 4/29&#58; ?3M Letter""><span style=""color&#58;black;"">?</span><span style=""color&#58;black;"">?UPDATE 4/29&#58;&#160;</span>?3M Letter</a></span></li></ul></div>","Due to global raw material supply constraints, some SKUs of 3M Bair Hugger Warming Unit is on backorder.","Raw Material Shortage","Alternatives Recommended by Supplier, Clinical Alternatives","<div class=""ExternalClassB8E64F3B81194E85A76C276A221B3DBD""><div><ul><li><span style=""color&#58;black;""><a href=""https://members.healthtrustpg.com/contracts/735"" title=""?Award Summary"">?Award Summary</a></span></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/735.CES_Patient%20Temperature%20Management_FINAL.pdf?csf=1&amp;web=1&amp;e=pvhwUj"" title=""Clinical Resource - Patient Temperature Clinical Evidence"">Clinical Resource - Patient Temperature Clinical Evidence</a></li><li><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/735.PFS_Patient%20Temperature%20Management_3.29.21_FPv2%20(1).xlsx?d=w5327fecc5eff4dbfb7c5a2a214bc2f19&amp;csf=1&amp;web=1&amp;e=s6XPOF"" title=""Clinical Resource - Patient Temperature PFS?"">Clinical Resource - Patient Temperature PFS?</a></li></ul></div></div>","<div class=""ExternalClass33A36861B35748D5A3E1A11693FD0FFF""><a href=""https://members.healthtrustpg.com/contracts/735"" title=""Patient Temperature Management - Convective Warming"">Patient Temperature Management - Convective Warming</a></div>"
"Watch","2021-10-26","2022-02-17","Patient Slippers","<div class=""ExternalClassF4261C8713B944DA84EBA8116F9BB632"">922</div>","<div class=""ExternalClassF668BC76C607414C9E669497262BB7DC"">Various SKUs</div>","<div class=""ExternalClassBDE575FF160944A89AC9DD49FB251489"">No official letter communicated. Information received via supplier.</div>","LSL is experiencing severe US port &amp; railyard congestion for incoming goods","Shipping Delays","Member Communication","","<div class=""ExternalClass1036ECC709154C19AF453B2BB4E8B360"">Patient Slippers</div>"
"Low","2022-05-13","2022-05-16","Personal Care Products","<div class=""ExternalClassFCC7632E52C54E2295B2276C29DCCE7E""><a href=""https&#58;//members.healthtrustpg.com/contracts/2801"" title=""2801"">2801</a></div>","<div class=""ExternalClass22A95F308A4D4BAAB329AAE62E027725""><font color=""#000000"">UPDATE 5/13&#58;&#160;</font></div><div class=""ExternalClass22A95F308A4D4BAAB329AAE62E027725""><b><span style=""color&#58;black;""><p><b style=""color&#58;rgb(50, 49, 48);"">Paper Products&#58;</b><br></p></span></b></div><div class=""ExternalClass22A95F308A4D4BAAB329AAE62E027725""><p>NON245277 - Sub&#58; NON243277  May 2022<br></p><p>NON245278 Discontinued - Sub&#58; NON243277</p><p>NON243275 - Sub&#58;  NON243277  May 2022<br></p><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><b>Facial Tissue</b>&#58; <p>NON243275 at 75% historical volume for current customers &#160; &#160;&#160;&#160;<br></p></div></div>","<div class=""ExternalClass5F834BD3463D4AB8B7BEAB46D3247087"">No official letter communicated. Information received via supplier.</div>","Medline is experiencing service issues on the items listed: labor shortages reducing factory capacities and raw material shortages.","Labor Shortages, Raw Material Shortage","Alternatives Recommended by Supplier","<div class=""ExternalClassE08E3B78CA424243886A6B5FF1087F9E""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/2801"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass7B36D0D4955848B497C9F002ABC646C0"">No cross posted</div>"
"High","2022-03-21","2022-03-23","Prefilled Flush Syringes","<div class=""ExternalClassAB5481F478884899A1E5353A244E1C21""><a href=""https&#58;//members.healthtrustpg.com/contracts/66898"" title=""66898"">66898</a></div>","<div class=""ExternalClass626719896F564031B4D6C2025C8E97EF"">Various SKUs</div>","<div class=""ExternalClassB1CD419905E149B5A9F05774D3F3DED8"">BD Letter</div>","Due to competitor&#39;s product being pulled from the market and then discontinued, BD is experiencing increased supply demand. BD&#39;s goal continues to be to fill the distributor channel and utilize DIOH (days of inventory on hand) to make efficient allocation decisions based on available supply and benchmarks by distributor branch","Demand Fluctuations","Purchase Allocation, Contracted Alternatives, Non-Contracted Alternatives","<div class=""ExternalClass7CA932E17F274A008E9EB6604207FE12""><div><ul><li><span style=""color&#58;black;""><a href=""https://members.healthtrustpg.com/contracts/66898"" title=""?Award Summary""><span style=""color&#58;black;"">?</span>?Award Summary</a>&#160;</span></li><li><span style=""color&#58;black;""><a href=""/&#58;w&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/_layouts/15/Doc.aspx?sourcedoc=%7b2EF5C7F3-725F-4AFE-AFAA-038C3CE3A1A1%7d&amp;file=7679.Saline%20Flush%20Supply%20Disruption.docx&amp;action=default&amp;mobileredirect=true"" title=""Clinical Resource - Prefilled Flush Syringe - Clinical Alternative"">Clinical Resource - Prefilled Flush Syringe - Clinical Alternative</a></span></li><li><span style=""color&#58;black;""><a href=""https&#58;//www.fda.gov/medical-devices/letters-health-care-providers/prefilled-saline-flush-syringe-conservation-strategies-letter-health-care-personnel"" title=""Clinical Resource - Prefilled Flush Syringe Conservation - FDA"">Clinical Resource - Prefilled Flush Syringe Conservation - FDA</a></span></li><li><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/66898.Syringes_Prefilled_Flush_Cross_Reference_Conversion_Tool_Member_Portal_final%20(1).xlsx?d=wc0772510940849ec8c9ef99a7889dbce&amp;csf=1&amp;web=1&amp;e=zZRenE"" title=""Clinical Resource - Prefilled Flush Cross Conversion Tool"">Clinical Resource - Prefilled Flush Cross Conversion Tool</a></li></ul></div></div>","<div class=""ExternalClass2E8835499A58494D919C491DD9A651A4""><a href=""https://members.healthtrustpg.com/contracts/66898"" title=""Prefilled Flush Syringes"">Prefilled Flush Syringes</a></div>"
"Medium","2022-03-23","2022-03-23","Pulse Oximetry and Capnography Equipment and Supplies","<div class=""ExternalClass94FB7AF012B641178C6E7CEAD9A8D5F8""><a href=""https&#58;//members.healthtrustpg.com/contracts/1331"" title=""1331"">1331</a></div>","<div class=""ExternalClassC69EF94F75A9453B98EBD772586814E7"">Part #4628 Substitute 3820 or 4624 or 3822                                                                                                     Part #3824 Substitute 3820 or 3822                                          Part #4453 Substitute 4459 or 4451 or 4459</div>","<div class=""ExternalClass4EDC4A7B15FA491BA1D085EA1C5ED5A7"">No official letter communicated. Information received via supplier.</div>","Masimo is experiencing supply disruption on certain SKUs of Nomoline items.","Not Specified - Global Supply Challenges","Alternatives Recommended by Supplier","<div class=""ExternalClass56FFBCE2F30D43329339822B53A95D78""><ul><li><a href=""https://members.healthtrustpg.com/contracts/1331"" title=""Award Summary"">Award Summary</a>?</li></ul></div>","<div class=""ExternalClassB7EA598E8C604F7185237AA6649C9969""><a href=""https://members.healthtrustpg.com/contracts/1331"" title=""Pulse Oximetry and Capnography Equipment and Supplies"">Pulse Oximetry and Capnography Equipment and Supplies</a></div>"
"High","2022-05-13","2022-05-16","Radial Access, Interventional, and Closure Devices","<div class=""ExternalClass9C3CBCD6143C494CBFE6A83FAA219B77""><a href=""https&#58;//members.healthtrustpg.com/contracts/58814"" title=""58814"">58814</a></div>","<div class=""ExternalClass198F30EF8C104B25BB6AF1DDED25A687""><span style=""color&#58;black;"">?UPDATE 5/13&#58; Reduction in affected products<p><span style=""color&#58;rgb(50, 49, 48);"">Diagnostic and guide-catheters (MACH 1, RUNWAY)</span><br></p></span></div>","<div class=""ExternalClass7D31324CD8944C21A1EC99ED42D2AE00"">Boston Scientific Codes On Backorder</div>","Mach 1 and Runway guide catheters remain on backorder through June 2022 ","Component Disruption","Contracted Alternatives","<div class=""ExternalClass0A5FB7EF8DBF42389FB0F5F12032F7F9""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></li><li><span style=""color&#58;black;""><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/58814-22296.CES-Vascular-Closure-Devices_FP.pdf?csf=1&amp;web=1&amp;e=Ek0maX"" title=""Clinical Resource - Vascular Closure Evidence Summary""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Vascular Closure Evidence Summary</span></a></span></li><li><span style=""color&#58;black;""><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/58814-22296.PFS.Vascular-Closure-devices_Compression.%20(1).xlsx?d=w776aba9d6c96405aba1c811e752f3918&amp;csf=1&amp;web=1&amp;e=I3IEWS"" title=""Clinical Resource - Vascular Closure Evidence PFS""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Vascular Closure Evidence PFS</span></a></span></li></ul></div></div>","<div class=""ExternalClass1C878CA7420643EA86113F2F6A6074A4""><a href=""https://members.healthtrustpg.com/contracts/58814"" title=""Radial Access, Interventional, and Closure Devices"">Radial Access, Interventional, and Closure Devices</a></div>"
"Low","2021-12-03","2022-02-17","Radiopharmaceuticals - Unit Dose","<div class=""ExternalClassEF080F93D272462DB879231C85540CF9""><a href=""https&#58;//members.healthtrustpg.com/contracts/160"" title=""160"">160</a></div>","<div class=""ExternalClass828B5FA7AD4F4AFE8107B82FF83A6B74"">Sulfur Colloid</div>","<div class=""ExternalClassCD1CAD837CAF4D3E88205FDFAF201443""><span style=""color&#58;black;""><a href=""https&#58;//portal.healthtrustpg.com/-/media/43D1F8B0F0334561973CC82892A299E2.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=190345457&amp;_hsenc=p2ANqtz--BKMRRO1Ihk8HDxtL0kJbTMn65nautYZGFMRYMd_xAEKrd-S7L9TSsIHnIJy0ZoMMxxL5fiVpxI4Q0VsppXbGWKzi"" title=""?Cardinal Letter"">?Cardinal Letter</a></span></div>","There are ongoing product shortages with Sulfur Colloid. Sun Pharma is working in concurrence with the FDA to manufacture Sulfur Colloid with the goal of product release by January 2022. Please refer to the attached letters for additional details.","Manufacturing Delays from Third Party Vendor","Member Communication, Clinical Alternatives","<div class=""ExternalClassA6DE4F48F7B34880887BC97C7DAD3894""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/160"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass74C8B6FE90D24D60B1F4713C2241D992""><a href=""https://members.healthtrustpg.com/contracts/160"" title=""Radiopharmaceuticals - Unit Dose"">Radiopharmaceuticals - Unit Dose</a></div>"
"Low","2021-12-03","2022-02-17","Radiopharmaceuticals - Unit Dose","<div class=""ExternalClass106F4F0E9B45486AB514A8CFC5943FCF""><a href=""https&#58;//members.healthtrustpg.com/contracts/20225"" title=""20225"">20225</a></div>","<div class=""ExternalClass4BD049A60D884A2C965368ECC2E1DD2D"">Sulfur Colloid</div>","<div class=""ExternalClassAA6E597D72E14E88B7A8408C95017E22""><span style=""color&#58;black;""><a href=""https&#58;//portal.healthtrustpg.com/-/media/43D1F8B0F0334561973CC82892A299E2.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=190345457&amp;_hsenc=p2ANqtz--BKMRRO1Ihk8HDxtL0kJbTMn65nautYZGFMRYMd_xAEKrd-S7L9TSsIHnIJy0ZoMMxxL5fiVpxI4Q0VsppXbGWKzi"" title=""?RLS Letter"">?RLS Letter</a></span></div>","There are ongoing product shortages with Sulfur Colloid. Sun Pharma is working in concurrence with the FDA to manufacture Sulfur Colloid with the goal of product release by January 2022. Please refer to the attached letters for additional details.","Manufacturing Delays from Third Party Vendor","Clinical Alternatives, Member Communication","","<div class=""ExternalClass84FF1E9F660745348672F3B245C1665D""><a href=""https://members.healthtrustpg.com/contracts/20225"" title=""Radiopharmaceuticals - Unit Dose"">Radiopharmaceuticals - Unit Dose</a></div>"
"Medium","2022-01-07","2022-02-17","Rental, Moveable Medical Equipment","<div class=""ExternalClass97F8EC7067BD4EA3B1ACA27F6DAF9462""><a href=""https&#58;//members.healthtrustpg.com/contracts/7093"" title=""7093"">7093</a></div>","<div class=""ExternalClassEB3485D5506F4553B66E1B284806617D"">Ventilators and stand-alone non-invasive ventilator therapies</div>","<div class=""ExternalClassD4A7A69C741047CC959B643B61D489BB"">No official letter, but US Med-Equip sent out an email to members</div>","Since the first of December, US Med-Equip has seen record calls for equipment from all regions of the United States. This has been different from past localized surges in that these calls are to allow treatment of flu?and?COVID patients and on a national scale. Due to the magnitude of acute respiratory needs, USME has exhausted inventory in most ventilators and stand-alone non-invasive ventilator therapies. Should you have a need for respiratory items, they suggest placing an order sooner rather than later.","Demand Fluctuations","Member Communication","<div class=""ExternalClassE20BBE85BC8149AD9C2BE9890DE1935B""><div><ul><li><span style=""color&#58;black;""><a href=""https://members.healthtrustpg.com/contracts/7093"" title=""?Award Summary"">?Award Summary</a></span></li><li><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/7093.Product-Features-Summary.Ventilator%20(2).xlsx?d=wa932969f81e240e4bb8e78a6a5af9265&amp;csf=1&amp;web=1&amp;e=mz0fbU"" title=""Clinical Resource - Ventilator PFS?"">Clinical Resource - Ventilator PFS?</a></li></ul></div></div>","<div class=""ExternalClass617B43273E844517BF9B6E02CA96D9FD"">No cross posted</div>"
